,RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,latitude,longitude
249,394860,254,"Midland, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,39.0,38.0,20.0,20.0,17.0,21.0,28.0,30.0,34.0,31.0,35.0,38.0,25.0,16.0,14.0,17.0,17.0,19.0,24.0,27.0,36.0,42.0,51.0,45.0,20.0,18.0,13.0,7.0,31.9973662,-102.077948
250,394671,255,"Hattiesburg, MS",msa,MS,92.0,71.0,44.0,61.0,29.0,31.0,28.0,44.0,62.0,28.0,62.0,90.0,69.0,73.0,29.0,31.0,25.0,30.0,37.0,30.0,37.0,41.0,50.0,68.0,45.0,39.0,31.0,30.0,44.0,21.0,13.0,17.0,17.0,14.0,21.0,22.0,21.0,8.0,13.0,6.0,5.0,6.0,6.0,9.0,9.0,16.0,12.0,10.0,7.0,5.0,5.0,6.0,5.0,9.0,11.0,11.0,,14.0,15.0,21.0,38.0,26.0,9.0,10.0,14.0,31.3271189,-89.2903392
251,753869,255,"Bloomington, IL",msa,IL,,,,,,,,,,,,,103.0,46.0,34.0,24.0,32.0,32.0,39.0,42.0,50.0,58.0,62.0,56.0,55.0,24.0,20.0,31.0,15.0,19.0,13.0,13.0,14.0,10.0,10.0,13.0,20.0,7.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,7.0,7.0,11.0,7.0,4.0,4.0,4.0,4.0,40.4797828,-88.9939147
252,394944,257,"Oshkosh, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,32.0,30.0,41.0,44.0206919,-88.5408574
253,394555,258,"Eau Claire, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,11.0,25.0,13.0,9.0,44.811349,-91.4984941
254,394651,259,"Greenville, NC",msa,NC,36.0,16.0,20.0,18.0,18.0,21.0,21.0,27.0,26.0,25.0,51.0,36.0,41.0,13.0,18.0,12.0,12.0,9.0,15.0,13.0,15.0,13.0,16.0,20.0,13.0,16.0,8.0,14.0,6.0,4.0,5.0,5.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,5.0,10.0,8.0,7.0,7.0,6.0,5.0,5.0,35.613224,-77.3724593
255,394428,260,"Burlington, NC",msa,NC,57.0,38.0,23.0,23.0,17.0,19.0,13.0,19.0,12.0,16.0,23.0,34.0,38.0,23.0,10.0,9.0,7.0,11.0,7.0,13.0,15.0,12.0,15.0,13.0,14.0,8.0,6.0,10.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,9.0,9.0,10.0,14.0,,9.0,8.0,6.0,5.0,36.0956918,-79.4377991
256,395210,261,"Waterloo, IA",msa,IA,,,,,,,,,,,62.0,70.0,69.0,73.0,41.0,15.0,19.0,17.0,33.0,35.0,25.0,30.0,53.0,64.0,79.0,59.0,16.0,14.0,22.0,20.0,14.0,20.0,18.0,15.0,22.0,32.0,16.0,14.0,7.0,5.0,4.0,5.0,8.0,9.0,14.0,15.0,15.0,16.0,22.0,10.0,6.0,5.0,5.0,6.0,6.0,9.0,10.0,11.0,13.0,16.0,36.0,10.0,7.0,6.0,6.0,42.498275,-92.3328743
257,394480,262,"Coeur d'Alene, ID",msa,ID,,,,,,,,,,,,,,,,,,15.0,35.0,21.0,25.0,34.0,27.0,44.0,34.0,12.0,9.0,16.0,18.0,25.0,17.0,13.0,15.0,16.0,27.0,5.0,6.0,5.0,13.0,6.0,6.0,6.0,8.0,11.0,13.0,15.0,12.0,19.0,6.0,5.0,5.0,5.0,7.0,14.0,26.0,27.0,39.0,35.0,39.0,57.0,60.0,22.0,15.0,12.0,15.0,47.6742994,-116.7811531
258,394553,263,"East Stroudsburg, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,13.0,33.0,16.0,11.0,45.0,34.0,12.0,10.0,10.0,9.0,11.0,10.0,14.0,14.0,21.0,20.0,16.0,12.0,8.0,10.0,10.0,10.0,13.0,19.0,16.0,20.0,31.0,25.0,44.0,29.0,28.0,11.0,17.0,10.0,40.9995386,-75.1812913
