DATE,CSUSHPISA_CPIAUCSL
4/1/2006,99.48285
5/1/2006,99.09324
6/1/2006,98.49936
7/1/2006,97.73046
8/1/2006,97.04854
9/1/2006,97.63498
10/1/2006,98.2848
11/1/2006,98.45653
12/1/2006,98.20542
1/1/2007,98.244
2/1/2007,97.90794
3/1/2007,97.16453
4/1/2007,96.27466
5/1/2007,95.1397
6/1/2007,94.21626
7/1/2007,93.45243
8/1/2007,92.90516
9/1/2007,92.22279
10/1/2007,91.45569
11/1/2007,89.98373
12/1/2007,89.31133
1/1/2008,88.38674
2/1/2008,87.36277
3/1/2008,86.29669
4/1/2008,85.22913
5/1/2008,83.88268
6/1/2008,82.19497
7/1/2008,80.89453
8/1/2008,80.23352
9/1/2008,79.33357
10/1/2008,79.03227
11/1/2008,79.34644
12/1/2008,78.7124
1/1/2009,77.43427
2/1/2009,76.39343
3/1/2009,75.77874
4/1/2009,75.33992
5/1/2009,75.10058
6/1/2009,74.6816
7/1/2009,74.86478
8/1/2009,74.54857
9/1/2009,74.27795
10/1/2009,73.96809
11/1/2009,73.86333
12/1/2009,73.72276
1/1/2010,73.40901
2/1/2010,72.59957
3/1/2010,72.68914
4/1/2010,72.94396
5/1/2010,72.97691
6/1/2010,72.67136
7/1/2010,72.1724
8/1/2010,71.53275
9/1/2010,70.97226
10/1/2010,70.48517
11/1/2010,70.12994
12/1/2010,69.79485
1/1/2011,69.30528
2/1/2011,68.51159
3/1/2011,67.97977
4/1/2011,67.67569
5/1/2011,67.41046
6/1/2011,67.38926
7/1/2011,67.1502
8/1/2011,66.73688
9/1/2011,66.28682
10/1/2011,65.90006
11/1/2011,65.39705
12/1/2011,65.15365
1/1/2012,64.94479
2/1/2012,64.77116
3/1/2012,65.28489
4/1/2012,65.76742
5/1/2012,66.37732
6/1/2012,66.84696
7/1/2012,67.13045
8/1/2012,67.03056
9/1/2012,67.00718
10/1/2012,67.15102
11/1/2012,67.72489
12/1/2012,68.16267
1/1/2013,68.64741
2/1/2013,68.72122
3/1/2013,69.93159
4/1/2013,70.80456
5/1/2013,71.3965
6/1/2013,71.85464
7/1/2013,72.36818
8/1/2013,72.82869
9/1/2013,73.3861
10/1/2013,73.81735
11/1/2013,74.06642
12/1/2013,74.29565
1/1/2014,74.54642
2/1/2014,74.73945
3/1/2014,74.84505
4/1/2014,74.84641
5/1/2014,74.82632
6/1/2014,74.90704
7/1/2014,75.05908
8/1/2014,75.36439
9/1/2014,75.67372
10/1/2014,76.02493
11/1/2014,76.48508
12/1/2014,77.05001
1/1/2015,77.81347
